Columns:
序号, 文件序号, 批次标签, 文件名, 企标号, 企标名, 公司名称, 企标中引用的标准号, 发布时引用的完整标准号, 最新标准号

Shape: (960, 10)

Head rows:
    序号  文件序号   批次标签                                        文件名                     企标号               企标名              公司名称         企标中引用的标准号      发布时引用的完整标准号            最新标准号
0    1     1  批次 25    Q_350583_TSTY_068-2022_药品柜-unlocked.pdf  Q/350583 TSTY 068—2022               药品柜  福建省南安市同盛体育器材有限公司      JY 0001—2003              NaN              NaN
1    2     1  批次 25    Q_350583_TSTY_068-2022_药品柜-unlocked.pdf  Q/350583 TSTY 068—2022               药品柜  福建省南安市同盛体育器材有限公司      JY 0002—2003              NaN              NaN
2    3     2  批次 25    Q_350583_TSTY_437-2022_仪器柜-unlocked.pdf  Q/350583 TSTY 437—2022               仪器柜  福建省南安市同盛体育器材有限公司      JY 0001—2003              NaN              NaN
3    4     2  批次 25    Q_350583_TSTY_437-2022_仪器柜-unlocked.pdf  Q/350583 TSTY 437—2022               仪器柜  福建省南安市同盛体育器材有限公司      JY 0002—2003              NaN              NaN
4    5     3  批次 25        Q_350583_TSTY-2022_七巧板-unlocked.pdf  Q/350583 TSTY 212—2022               七巧板  福建省南安市同盛体育器材有限公司      JY 0001—2003              NaN              NaN
5    6     3  批次 25        Q_350583_TSTY-2022_七巧板-unlocked.pdf  Q/350583 TSTY 212—2022               七巧板  福建省南安市同盛体育器材有限公司      JY 0002—2003              NaN              NaN
6    7     4  批次 25  Q_BL·001-2009_影视摄像用摄像灯装置技术条件-unlocked.pdf            Q/BL001-2009  《影视摄像用摄像灯装置技术条件》      福州柏灵影像器材有限公司  JB/T 8250.5—1995              NaN              NaN
7    8     4  批次 25  Q_BL·001-2009_影视摄像用摄像灯装置技术条件-unlocked.pdf            Q/BL001-2009  《影视摄像用摄像灯装置技术条件》      福州柏灵影像器材有限公司  JB/T 8250.6—1995              NaN              NaN
8    9     4  批次 25  Q_BL·001-2009_影视摄像用摄像灯装置技术条件-unlocked.pdf            Q/BL001-2009  《影视摄像用摄像灯装置技术条件》      福州柏灵影像器材有限公司  JB/T 8250.7—1995              NaN              NaN
9   10     5  批次 25      Q_GWXF001-2022_智能型室外消火栓.-unlocked.pdf         Q/GWXF 001-2022        《智能型室外消火栓》        广威消防科技有限公司           GB 4452     GB 4452-2011     GB 4452-2026
10  11     5  批次 25      Q_GWXF001-2022_智能型室外消火栓.-unlocked.pdf         Q/GWXF 001-2022        《智能型室外消火栓》        广威消防科技有限公司          GB/T 197    GB/T 197-2018    GB/T 197-2018
11  12     5  批次 25      Q_GWXF001-2022_智能型室外消火栓.-unlocked.pdf         Q/GWXF 001-2022        《智能型室外消火栓》        广威消防科技有限公司        GB/T 230.1  GB/T 230.1-2018  GB/T 230.1-2018
12  13     5  批次 25      Q_GWXF001-2022_智能型室外消火栓.-unlocked.pdf         Q/GWXF 001-2022        《智能型室外消火栓》        广威消防科技有限公司          GB/T 699    GB/T 699-2015    GB/T 699-2015
13  14     5  批次 25      Q_GWXF001-2022_智能型室外消火栓.-unlocked.pdf         Q/GWXF 001-2022        《智能型室外消火栓》        广威消防科技有限公司         GB/T 1173   GB/T 1173-2013   GB/T 1173-2013
14  15     5  批次 25      Q_GWXF001-2022_智能型室外消火栓.-unlocked.pdf         Q/GWXF 001-2022        《智能型室外消火栓》        广威消防科技有限公司         GB/T 1176   GB/T 1176-2013   GB/T 1176-2013
